id,Country,indexreg,pop_2021,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg2_pestexp,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_uni,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofits,sdg17_statperf
AZE,Azerbaijan,E. Europe & C. Asia,10223344,0,0,,2.5,17.8,3.2,19.9,2.239,3.014,0.576,,,26,9.8,19.4,58,0.04,27.2,64,6.73,71.43,48.1,99.39,79,65,5.2,,,,83.237,89.537,101.288,99.934,,,,,21.5,93.578,88.87,17.355,,96.043,96.129,53.73,3.78,1028.412,,,100,96.7,1.496,1.423,-3.23,4.465,28.571,6.553,,0.095,,,84.6,62.056,2.714,16.45,0.174,0.184,,,,,26.6,,,,19.196,100,67,,0.834,7.963,4.953,0.938,11.957,0.691,0.014,,3.72,0.353,11267.59,,,,,,,0.002,36.615,14.527,0.912,0.001,0.053,2.27,15.883,,5.084,93.6,30,,0,58.77,,,3.963,,42.814,0,,,68.141
BHS,"Bahamas, The",LAC,396914,,,,1.17,2.58,0.7,31.6,2.296,8.722,1.142,,,70,6.6,12.3,9.1,0.28,19.9,20,7.75,73.21,29,99,83,70,,,,,37.556,86.514,92.243,,,,,,,102.632,90.54,12.821,,98.887,94.931,,1.384,11758.295,,,100,100,1.003,,-5.908,,,12.885,0.648,0.391,,,87,93.022,2.408,0,0.219,,,,,,,,,,16.318,,,,1.933,17.225,78.082,6.809,3.574,9.636,0.003,,5.945,2.895,0,,30.27,61.82,30.91,0,0,1.655,29.828,0,0.695,0.201,0.387,18.56,58.743,,,,64,,0,,0.6,,5.499,,,100,,,50.124
BHR,Bahrain,MENA,1748295,,,,1.17,2.58,0.7,29.8,,,0.867,,7.921,14,2.9,6.8,13,1,16.06,40,5.18,75.81,12.5,99.9,98,71,6.2,,,,70.07,97.656,93.454,95.454,,,,,,93.814,50.526,15,,100,100,133.71,86.856,5166.888,,,100,100,0.843,0,-5.085,,82.613,1.76,,1.012,,,99.67,122.577,2.725,4.5,0.626,0.101,,,,,,,,,72.833,,70,,1.829,15.915,8.51,7.563,0.573,5.991,0.559,,20.546,3.183,0,,0,54.63,,0,16.787,0.007,0,,0.749,,0.067,0.12,,,5.806,100,42,,0,61.1,,,4.699,,,,,,54.467
BGD,Bangladesh,East & South Asia,166303494,3.46,28.17,,9.7,28,9.8,3.6,2.134,4.791,0.674,,,173,17.5,29.1,218,1,18.89,149,15.35,74.25,74,52.7,97,51,5.3,,,,77.5,94.986,87.966,94.462,,,,,77.4,82.609,43.972,20.917,,97.698,54.165,5.72,0,1053.673,,,92.2,23,1.198,18.322,1.389,3.673,50.047,5.02,0.445,0.062,,,24.8,52.786,2.389,23.583,0.05,,,,,,32.4,1.276,,47.6,59.454,35.672,78,,0.268,1.193,1.735,0.598,6.86,0.18,,,0.564,0.206,,,34.471,33.55,3.23,15.399,5.054,0.001,41.472,0,0.744,0.3,0.012,2.37,81.302,,3.984,56,26,6.8,0,49.71,0.448,,1.789,,10.21,0,,,58.07
BRB,Barbados,LAC,287708,2.72,7.11,,4.1,7.7,6.8,23.1,2.33,2.912,1.201,,0,27,8.1,12.2,2.4,1,15.96,31,8.17,76.03,49.7,99.1,85,74,,,,,87.538,97.348,88.968,99.9,,,,,69.9,106.796,87.576,20,,98.514,98.092,87.5,1.157,,,,100,100,1.157,,-9.342,2.746,,9.753,0.736,0.649,,,81.761,42.233,,0,0.543,,,,,,,,,,21.637,,,,1.692,12.708,,,5.577,8.65,4.246,,3.782,,304.145,,2.851,64.12,39.29,0,1.725,0.514,1.754,,0.895,0.266,0.58,16.72,84.096,,4.771,98.7,65,1.354,0,,0.748,,7.12,,,0,,,
BLR,Belarus,E. Europe & C. Asia,9442867,0.04,0.08,,2.5,4.5,2.2,24.5,2.278,2.725,0.795,,0,2,1,2.9,26,0.13,23.75,61,7.64,74.81,11.7,99.8,97,74,5.8,,,,98.052,98.697,97.841,99.873,,,,,73,98.387,80.641,40,,96.535,97.904,4.58,7.18,2642.569,,,100,98.9,1.631,6.708,-0.366,10.877,81.156,4.614,0.465,0.013,,,85.09,89.472,2.441,16.45,0.27,0.604,,,,,25.3,0.873,,45.2,18.339,99.052,57,,1.242,9.33,1.713,5.6,29.393,0.12,1.391,,6.079,2.794,496.579,,,,,,,0.001,47.086,53.311,0.973,0.002,0.007,2.38,9.172,,,100,41,0.976,0.98,50.82,0.632,,9.078,,29.601,0,,,77.135
BEL,Belgium,OECD,11632334,0.18,0.22,8.1,2.5,1.6,0.4,22.1,2.38,8.154,0.723,77.247,42.29,5,2.4,4.2,7.7,1,10.56,16,5.77,81.42,5.5,,96,85,6.9,2.6,29.7,15.4,96.226,99.107,92.529,,48.508,500,19.997,20.007,,97.541,84.357,41.333,3.798,100,99.486,49.07,67.876,6802.076,99.914,88.821,100,100,1.074,7.772,-0.474,2.027,98.638,6.171,0.819,1.566,64.45,12.461,91.526,86.983,3.984,64.7,2.983,2.766,12.39,37.901,18.254,25.832,27.2,0.9,10.5,0,12.338,100,59,6.965,1.132,20.41,15.391,11.943,12.479,15.608,29.209,0.514,7.226,5.175,0,33.646,94.014,31.97,,12.974,34.557,0.233,75.596,85.643,0.984,0.039,4.722,3.08,35.6,,5.204,100,73,0,0.261,11.69,0.723,87.727,14.558,0.462,,67.841,45.05,-45.683,82.415
BLZ,Belize,LAC,404915,14.45,29.25,,5.9,15,1.8,24.1,2.203,4.044,0.939,,,36,7.7,11.7,23,0.53,16.47,69,22.56,74.41,58.2,94,79,67,6,,,,84.441,99.849,69.465,84.223,,,,,64.9,100,60.412,9.677,,98.402,88.214,1.26,0.587,4765.905,,,92.72,82.4,0.832,,-8.614,,48.209,7.792,0.493,0.251,,,50.8,43.896,,0,0.123,,,,,,,,,3.5,21.327,96.362,49,,0.77,5.841,13.835,1.258,10.305,3.173,1.031,,1.466,0.555,289.546,,31.221,66.34,,0.361,7.4,0.085,43.262,15.252,0.771,0.793,0.17,25.65,50.774,,,95.7,,3.3,0,27.61,0.504,,12.11,,29.027,0,,,58.755
BEN,Benin,Sub-Saharan Africa,12451031,45.46,69.51,,7.6,32.2,5,9.6,2.098,1.432,0.771,,13.558,397,29.7,85.9,55,0.19,22.62,205,26.8,63.43,108,78.1,65,38,4.5,,,,84.801,93.275,33.003,60.948,,,,,28,43.636,95.699,7.229,,65.414,16.963,0.98,0.017,462.571,,,40.319,4,34.044,54.612,-1.559,5.459,38.489,1.459,0.604,0.031,,,25.8,21.458,2.497,0,0.052,,,,,,47.8,2.938,,59.2,41.915,48.608,46,,,0.806,0.678,0.473,6.505,0.351,0.006,,0.553,0.158,0,,0,23.91,,0,0.024,0.001,66.664,0.001,0.905,0.17,0.017,,62.261,,4.303,85.6,42,24.8,0,38.18,0.437,,3.506,,,0,,,48.046
BTN,Bhutan,East & South Asia,779900,0,11.67,,,33.5,5.9,6.4,,3.467,0.735,,,183,15.3,27.6,165,0.09,18.46,124,16.18,73.11,59,96.2,93,62,5.1,,,,41.398,96.346,85.077,93.091,,,,,84.6,68.75,76.178,14.894,,97.313,76.507,1.41,0,2455.037,,,100,79.1,0.104,,-4.461,,33.666,4.39,,0.391,,,53.5,99.9,1.908,0,0.259,,,,,,37.4,1.594,,,33.135,99.297,75,,0.459,4.04,7.945,1.251,4.768,3.52,,,2.495,0.463,,,,,,,,0.061,46.974,34.814,0.798,0.02,0.215,2.46,14.176,,,99.9,68,3.503,0,28.86,,,9.505,,22.163,0,,,51.991
BOL,Bolivia,LAC,11832936,2.57,8.84,,12.6,16.1,2,20.2,2.25,2.334,0.509,,,155,13.5,25.4,105,0.08,17.88,64,21.11,72.14,71,71.5,68,67,5.6,,,,91.715,94.677,85.848,99.399,,,,,50.3,84.694,73.667,46.154,,93.39,65.756,1.18,3.509,720.377,,,96.303,85.5,2.003,10.033,-5.433,2.129,54.405,5.646,0.522,0.095,,,59.94,83.025,2.152,0,0.039,0.157,,,,,41.6,2.068,,49.9,19.688,86.683,67,,0.559,3.573,2.473,0.662,24.695,1.233,0.103,,1.773,0.213,2323.486,,,,,,,0.004,48.22,58.679,0.881,0.622,0.206,7,64.329,,2.815,91.9,30,13.6,0,35.47,0.473,,,,23.266,0,,,62.656
BIH,Bosnia and Herzegovina,E. Europe & C. Asia,3263459,0.06,0.17,,2.5,8.9,2.3,17.9,2.258,5.488,1.003,,,10,4.1,5.7,26,1,18.72,80,13.51,76.75,10.1,99.9,68,65,5.7,,,,29.346,,94.212,99.662,,,,,21.9,81.651,61.553,26.19,,96.114,95.385,2.66,1.127,2518.887,,,100,46.3,1.423,24.899,0.231,3.422,58.843,14.955,0.63,0.134,,,73.21,47.271,2.421,7,0.48,0.195,,,,,33,1.268,,8.3,26.753,97.645,40,,0.998,7.794,49.032,1.695,9.293,1.63,1.879,,6.528,0.659,70.142,,,40.71,,0,1.216,,28.992,99.958,0.9,0,0.548,1.18,31.816,,3.382,99.5,35,,0,28.34,0.578,,,,38.079,0,,,61.238
BWA,Botswana,Sub-Saharan Africa,2397240,16.52,31.74,,29.3,28.9,7.3,18.9,2.305,0.377,1.301,,1.389,144,21.9,44.8,236,4.39,27.03,101,26.41,62.25,51.9,99.8,87,54,3.5,,,,21.327,88.954,92.832,97.456,,,,,,97.938,86.15,10.769,,92.214,80.026,2.02,0.95,2735.766,,,70.183,52.8,2.252,18.865,-4.92,3.433,51.032,23.738,0.525,0.788,,,64,88.439,2.955,16.45,0.34,0.537,,,,,53.3,3.807,,,22.622,96.386,62,,0.291,7.922,23.286,3.271,16.21,4.918,0.216,,2.772,0.855,106.34,,,,,,,0.48,51.088,52.116,0.976,0.004,2.509,15.25,22.166,,4.726,87.5,55,,0,23.25,0.513,,11.664,,30.369,55.258,,,57.349
BRA,Brazil,LAC,213993441,4.11,10.48,,2.5,7,1.8,22.1,2.366,4.806,0.504,,0.21,60,8.7,14.7,45,0.23,15.5,30,16.05,75.9,49.1,99.1,77,75,6,,,,99.41,99.427,71.75,99.204,,,,,89,106.494,70.793,14.62,,99.321,90.078,3.05,49.302,267.263,,,99.8,95.9,0.737,45.623,-3.318,1.792,70.044,13.646,0.455,0.105,,,81.343,87.083,2.927,43.183,0.42,1.16,,,,,53.4,2.92,,15.2,11.844,99.822,44,,1.034,10.213,7.61,0.742,31.855,2.08,0.017,,2.199,0.241,655.511,,66.469,60.16,14.104,14.412,33.549,0.031,43.827,28.296,0.898,0.484,0.333,20.86,30.429,,4.169,96.4,38,5.4,0.041,36.25,0.627,,9.996,,29.113,0,,,76.754
BRN,Brunei Darussalam,East & South Asia,441532,,,,2.5,19.7,2.9,14.1,2.431,2.004,1.367,,0,31,6.1,11.5,83,1,18.52,13,7.45,74.32,9.9,99.8,99,77,,,,,94.333,98.319,110.987,99.709,,,,,,98.913,74.96,9.091,,99.9,96.349,3.47,6.105,13635.49,,,100,100,2.847,0.003,0.589,10.928,,7.397,,1.228,,,95,148.11,2.461,45.05,1.557,0.278,,,,,,,,,5.102,99.6,,,1.411,19.725,17.48,9.491,5.906,6.888,0.676,,23.22,4.326,65919.438,,5.447,57.45,,31.939,7.205,0.043,41.657,50,0.855,0.139,0.383,0.49,7.08,,4.321,,60,,2.743,49.91,,,6.463,,,0,,,
BGR,Bulgaria,E. Europe & C. Asia,6896655,0.75,1.29,,3,7,6.3,25,2.362,5.464,0.52,,0,10,3,6.1,19,1,24.16,62,9.24,75.07,38.9,99.8,88,70,5.4,,,,83.154,85.391,46.99,97.865,,,,,,102.679,78.784,26.667,,99.011,86.035,40.1,13.888,2269.646,,,100,88.65,0.968,12.906,1.22,4.465,72.204,4.889,0.614,0.42,,,70.16,105.606,2.763,16.45,0.897,0.756,,,,,41.3,1.89,,,18.48,99.529,56,,1.111,11.742,46.321,2.334,23.026,2.838,1.736,,5.389,0.754,23.92,,99.652,42.4,,62.891,4.992,0.023,96.608,98.668,0.936,0,1.098,0.99,9.662,,3.92,100,42,,0.417,37.29,0.683,,8.307,,36.038,55.569,,,82.323
BFA,Burkina Faso,Sub-Saharan Africa,21497097,36.87,70.84,,14.4,23.8,8.1,5.6,2.104,1.108,0.827,,0.025,320,25.8,85,46,0.1,23.93,206,31.02,62.7,132.3,79.8,88,43,4.6,,,,20.697,75.496,41.369,58.874,,,,,52.6,47.826,78.925,6.299,,47.215,21.664,7.81,0,218.202,,,18.379,10.2,2.079,,-3.355,4.523,43.16,4.668,0.543,0.043,,,22,31.697,2.431,0,0.031,0.611,,,,,35.3,1.48,,56.6,45.894,73.503,51,,0.39,0.64,0.758,0.236,16.164,0.582,0.065,,0.19,0.103,0,,,,,,,0.006,66.712,50.182,0.987,0,0.033,1.25,41.956,,3.951,76.9,42,42.002,0,23.17,0.354,,8.071,,18.439,0,,,53.623
BDI,Burundi,Sub-Saharan Africa,12255429,74.87,92.35,,,54,4.8,5.4,2.025,1.248,0.874,,0.434,548,20.9,54.4,103,0.15,24.97,180,35.46,63.84,58.2,85.1,90,44,3.8,,,,49.034,89.889,29.78,88.222,,,,,39.6,63.415,102.537,38.211,,62.207,45.728,10.19,0,180.974,,,11.065,0.2,1.522,,-8.529,39.954,7.106,1.656,,0.016,,,9.4,11.143,1.953,0,0.01,0.213,,,,,38.6,1.732,,50.5,37.443,90.867,39,,0.765,0.458,0.183,0.05,3.495,0.183,0.006,,0.051,0.02,0,,,,,,,0.001,56.832,79.952,0.891,0.245,0.025,6.05,55.286,,4.056,83.5,19,30.922,0,47.57,,,7.746,,,0,,,50.913
CPV,Cabo Verde,Sub-Saharan Africa,561901,2.11,15.84,,15.4,,,11.8,2.226,0.123,1.178,,,58,8.5,14.2,39,1,17.44,99,26.78,74.03,12,92.4,93,69,,,,,81.199,92.277,71.274,98.111,,,,,73.2,90.909,74.833,25,,88.77,79.116,8.43,20.9,,,,95.534,78,1.612,,-6.555,4.105,,15.087,,0.212,,,64.5,76.539,,0,0.121,0.073,,,,,42.4,2.097,,,36.464,96.643,,,0.719,4.924,,,4.516,2.851,,,0.989,,0,,14.116,62.4,0.35,55.336,6.571,,12.028,,0.905,0.031,0.15,6.47,31.334,,4.351,91.4,58,,0,20.09,,,7.98,,28.794,0,,,54.669
KHM,Cambodia,East & South Asia,16946446,1.51,26.24,,6.2,32.4,9.7,3.9,2.175,3.624,0.55,,0.88,160,13.2,25.7,274,0.07,22.51,150,19.55,70.12,30,89,84,61,4.6,,,,70.472,89.154,58.158,92.212,,,,,56.5,72.414,86.028,20,,71.22,68.769,1.04,0,447.78,,,93,31.2,1.819,47.851,-1.967,16.81,21.672,0.575,0.472,0.068,,,32.9,96.436,2.145,0,0.032,0.118,,,,,,,,45.6,23.318,79.574,69,,0.195,1.143,3.444,1.439,7.728,0.311,0.458,,0.917,0.399,0,,51.028,53.36,46.94,90.258,0.757,0.005,54.535,45.043,0.782,1.929,0.013,1.84,28.657,,4.178,73.3,23,12.6,0,46.84,0.346,,3.862,,22.793,0,,,56.203
CMR,Cameroon,Sub-Saharan Africa,27224262,21.96,40.37,,5.3,28.9,4.3,11.4,2.082,1.646,0.811,,,529,26.2,72.2,174,0.6,23.92,208,30.18,62.36,122.2,69,62,44,5,,,,43.898,91.672,47.173,85.08,,,,,44.9,58.75,87.082,33.889,,65.72,44.631,1.56,0,285.857,,,63.452,21.9,0.966,75.699,-4.284,6.867,34.591,3.774,0.469,0.025,,,37.8,18.67,2.572,0,0.079,,,,,,46.6,2.692,,24.6,80.412,55.291,45,,0.406,1.035,0.967,0.277,7.48,0.343,0.016,,0.26,0.125,476.896,,,36.19,,9.042,0.704,0.002,35.326,41.271,0.839,0.249,0.017,1.15,53.304,,3.952,61.9,27,38.9,0,43.78,0.483,,3.221,,15.151,0,,,53.477
CAN,Canada,OECD,38067913,0.23,0.3,11.6,2.5,2.58,0.7,29.4,2.353,3.879,0.47,64.041,8.848,10,3.2,5,5.9,1,9.62,7,5.34,82.24,6.6,98,90,89,6.9,11,11.8,10.3,98.8,99.721,100,,64.387,516.667,6.42,13.436,,100.752,86.7,28.994,16.113,99.222,99.033,3.67,67.44,3231.925,99.039,84.368,100,100,0.912,16.154,-3.414,0.482,99.727,6.148,0.741,1.308,73.233,13.584,96.97,82.706,3.75,78.8,2.921,1.543,8.796,18.515,52.4,31.43,33.3,1.09,12.3,0,5.924,99.255,57,8.968,1.928,20.213,24.849,8.968,38.295,12.521,4.252,,14.197,3.258,16550.811,34.204,35.622,94.05,36.28,26.458,7.191,0.902,29.854,22.855,0.964,0.003,4.052,1.97,38.597,,5.456,100,74,0,0.374,15.25,0.583,107.748,12.871,0.319,,0,55.838,20.931,87.466
CAF,Central African Republic,Sub-Saharan Africa,4919987,69.65,85.79,,48.2,40.2,5.2,7.5,2.149,0.945,1.049,,,829,38.8,103,540,1,36,212,37.72,53.1,229,40,41,32,3.5,,,,6.181,66.561,12.237,38.269,,,,,27.6,53.571,79.441,8.571,,37.202,14.119,0.34,0,404.32,,,14.3,0.5,1.723,,-5.515,22.251,13.746,6.396,,0.012,,,10.4,5.029,1.929,0,0.014,0,,,,,56.2,4.485,,98.5,61.733,32.291,25,,0.679,0.483,0.64,0.153,22.49,0.282,0.021,,0.039,0.063,0,,,,,,,,74.237,94.799,0.936,0.05,0.045,,,,,44.8,24,30.459,0,41.92,,,2.588,,8.818,0,,,
TCD,Chad,Sub-Saharan Africa,16914985,44.56,69.94,,31.7,37.8,13.9,6.1,2.257,0.893,0.834,,,1140,32.8,110,144,0.22,22.74,280,32.43,59.63,179.4,24.3,47,28,4.3,,,,13.906,73.848,15.04,30.792,,,,,17.5,34.211,66.885,15.432,,46.188,12.064,4.29,0,199.565,,,8.4,3.8,4.408,,-7.026,11.984,21.759,1.767,,0.007,,,10.4,2.984,2.372,0,0.004,0.301,,,,,43.3,2.219,,86.6,69.608,52.018,41,,0.311,0.819,0.27,0.145,51.279,0.137,,,0.056,0.057,,,,,,,,,67.313,61.379,0.914,0.435,0.017,,,,2.913,25.7,20,38.95,0,40.2,,,3.126,,,0,,,38.543
CHL,Chile,OECD,19212362,0.03,0.18,16.5,3.4,1.8,0.3,28,2.327,7.145,0.782,,2.023,13,4.4,6.8,15,0.26,10.04,25,14.91,80.74,22.6,99.8,91,80,6.4,2,19.7,24.5,95.273,99.538,94.3,99.009,33.726,437.667,14.112,35.344,,98.131,67.032,22.581,8.596,100,100,21.62,71.856,1142.874,98.771,78.601,100,100,1.063,27.398,-2.38,0.778,74.349,8.237,0.712,0.315,58.472,18.41,88.3,95.524,3.21,40.45,0.896,0.356,1.097,0.491,7.464,18.829,44.4,2.55,17.6,0,19.364,99.853,62,13.907,1.057,9.933,26.787,4.679,10.097,4.627,0.554,1.191,4.246,1.392,97.944,16.883,29.898,93.81,,0.198,0.338,0.038,36.42,39.978,0.76,0.016,1.118,3.93,31.707,,5.425,99.4,67,5.9,0,27.89,0.677,244.079,10.185,,,0,55.788,7.145,82.437
CHN,China,East & South Asia,1444216102,0.14,1.3,,2.5,4.8,1.9,6.2,2.189,6.081,0.692,,1.915,29,3.5,7.3,59,1,15.85,113,17.36,77.43,9.2,99.9,99,82,5.9,,,,,,99.515,99.784,,,,,96.6,91.667,83.011,24.941,,94.261,92.376,43.22,9.36,305.749,,,100,64.4,1.327,9.673,2.455,2.766,80.229,4.713,0.308,0.089,,,70.405,96.719,3.753,81.567,0.517,2.141,,,,,38.5,3.86,,,48.63,91.39,85,,0.755,7.234,17.964,0.539,11.082,1.219,0.014,,7.412,0.202,20.21,,7.076,35.1,25.52,51.1,4.251,0.043,10.059,9.584,0.731,0.008,0.6,0.53,,,5.309,,45,,0.101,78.72,0.603,,6.538,,16.536,58.301,,,58.218
COL,Colombia,OECD,51265841,5.13,13.88,,8.8,12.7,1.6,22.3,2.269,4.535,1.065,,0.369,83,7.2,13.2,37,0.18,9.73,37,15.42,79.31,57.9,99.1,88,78,5.3,15.98,8.1,13,99.435,99.062,78.126,99.012,29.994,405.333,11.502,50.367,86.6,103.614,66.237,18.343,4,97.492,93.681,2.04,25.564,611.57,73.009,18.315,99.766,94.3,1.277,22.719,-2.307,2.726,45.759,13.096,0.475,0.192,60.705,29.829,69.79,58.668,2.667,31.25,0.297,0.235,,0.133,64.323,33.41,51.3,3.281,,28.5,15.068,95.098,59,,0.729,6.303,3.496,1.199,13.413,1.915,0.073,,1.751,0.375,5852.867,24.721,54.805,63.69,51.123,0,4.057,0.05,47.642,50.67,0.737,0.266,1.044,22.64,33.856,,4.142,96.8,39,3.6,0.016,43.74,0.558,245.934,10.048,,24.171,0,56.475,1.942,73.765
COM,Comoros,Sub-Saharan Africa,888456,20.88,38.72,,,31.1,11.2,7.8,2.14,1.37,0.856,,,273,29,61.3,35,0,20.62,172,26.57,67.39,70.3,82.2,87,44,4.6,,,,29.901,81.845,43.663,78.27,,,,,28.8,66.667,58.711,16.667,,80.21,35.907,0.83,0.121,,,,84.048,7.5,2.141,,-5.065,,21.695,9.14,,,,,8.478,59.951,2.25,0,0.021,,,,,,45.3,2.478,,69.6,20.353,76.109,54,,0.321,0.735,,,,,,,0.297,,0,,12.997,38.63,6.59,0,34.946,,55.109,100,0.744,0.088,,,,,,87.3,20,28.472,0,30.65,,,3.376,,,0,,,
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,92377986,71.74,90.45,,41.7,41.8,6.4,6.7,2.037,0.769,0.91,,,473,26.8,81.2,319,0.18,24.05,164,34.86,62.35,109,80.1,57,39,4.3,,,,,,50.432,84.99,,,,,33,63.095,88.419,12.8,,45.952,15.389,0.23,0,132.69,,,19.1,4.5,0.288,97.511,-5.437,13.709,25.826,5.352,0.495,0.049,,,13.6,19.53,2.116,0,0.005,0.406,,,,,42.1,2.065,,80.4,42.845,67.411,41,,0.5,,0.616,0.168,1.688,0.316,0,,0.028,0.053,0.001,,,39.67,,0,0,0.008,52.664,52.457,0.881,0.343,0.165,,,,3.236,40.1,19,14.7,0,48.59,0.365,,2.014,,,0,,,33.753
COG,"Congo, Rep.",Sub-Saharan Africa,5657017,49.78,72.63,,37.7,21.2,8.2,9.6,2.171,0.83,0.896,,,378,18.7,44.6,379,1.94,22.6,131,29.7,64.74,111.3,91.2,68,40,4.9,,,,29.457,84.371,50.101,82.055,,,,,43.2,81.333,95.346,11.258,,73.785,20.46,0.03,0.284,1000.486,,,48.33,33.5,1.272,52.259,-10.948,8.027,26.093,22.536,0.567,0.143,,,8.65,5.613,2.066,0,0.07,,,,,,48.9,3.056,,47.3,50.147,72.815,44,,,4,1.192,0.656,2.25,0.978,0.016,,0.565,0.251,6221.523,,65.372,49.23,,3.189,0.903,0.031,60.857,65.688,0.966,0.124,0.298,,,,,95.9,21,14.125,0,38.83,0.461,,4.681,,25.545,0,,,36.577
CRI,Costa Rica,OECD,5139053,0.17,0.32,20.5,3.1,9,1.8,25.7,2.397,4.294,1.09,,190.785,27,5.6,7.9,10,0.34,9.53,23,14.78,80.85,40.9,99,95,78,6.4,2,,4.2,98.5,99.926,69.223,99.43,32.466,414.667,17.685,47.844,80.8,103.488,65.389,45.614,4.725,99.811,97.915,4.11,9.746,2786.07,80.516,30.204,99.71,95.5,0.81,50.459,-0.677,1.25,67.838,17.055,0.605,0.492,57.154,18.775,80.53,92.403,2.494,39.45,0.282,0.383,,0.046,18.286,32.2,48.2,3.14,17,3.6,14.753,100,69,,0.834,10.018,4.719,3.105,13.101,4.288,2.434,0.68,1.552,1.036,0,,48.664,72.75,36.57,0,45.807,0.248,41.129,49.973,0.812,0.134,1.633,11.19,76.441,,5.086,99.6,58,3.8,0,8.76,0.674,63.238,12.022,,24.287,0,62.325,1.68,79.778
CIV,Cote d'Ivoire,Sub-Saharan Africa,27053629,20.08,43.39,,14.9,21.6,6.1,10.3,2.078,2.278,0.923,,2.115,617,33.2,77.9,135,0.24,21.71,269,24.12,62.92,123.3,73.6,70,45,5.1,,,,24.675,96.367,57.305,83.626,,,,,43.5,65.625,70.926,11.373,,70.909,34.566,5.09,0.6,406.044,,,68.55,30.3,1.396,62.682,-1.476,5.915,41.331,3.421,0.615,0.033,,,36.289,66.188,2.887,0,0.023,0.07,,,,,41.5,2.006,,61.1,28.254,59.787,40,,0.593,1.142,1.073,0.515,2.011,0.225,0.031,,0.382,0.181,205.421,,97.901,40.91,52.06,12.61,0.742,0.001,73.779,80.948,0.901,1.152,0.012,,,,4.006,71.7,36,22.1,0.004,28.87,0.489,,4.66,,12.34,0,,,56.108
HRV,Croatia,E. Europe & C. Asia,4081657,0.39,0.64,,2.5,2.58,0.7,24.4,2.369,6.975,0.486,,1.09,8,3,4.6,6.6,0.02,16.07,35,7.95,78.64,8.6,99.9,91,73,6.3,,,,95.912,97.812,100.98,99.724,,,,,63.6,90.984,77.102,31.126,,98.685,96.565,1.5,51.706,2905.57,,,100,100,1.307,24.723,-1.058,5.992,86.143,7.167,0.703,0.49,,,78.321,82.095,3.013,21.983,1.903,0.972,,,,,29.7,1.106,,,16.816,95.67,48,,1.201,11.888,12.848,3.198,14.387,4.822,6.396,,4.137,1.195,465.617,,81.681,64.67,62,14.397,4.301,0.048,76.885,84.932,0.896,0,1.365,0.95,35.437,,3.843,100,47,,0.073,27.95,0.699,,9.596,0.146,,54.534,,,68.384
CUB,Cuba,LAC,11317498,,,,2.5,7.1,2,24.6,2.212,2.877,1.057,,,36,2.4,5.1,6.3,0.18,16.58,50,8.89,77.76,53.3,99.9,98,80,5.4,,,,95.527,99.802,86.051,99.875,,,,,86.9,94.915,58.598,53.223,,97.003,91.356,23.94,3.6,812.643,,,99.8,79.44,1.347,17.253,,3.768,,2.548,,0.159,,,74,25.731,2.042,16.45,0.184,0.537,,,,,,,,6.6,18.512,86.421,8,,0.656,,34.833,0.821,12.531,0.905,,,1.779,0.317,,,70.061,58.3,5.91,6.109,0.044,0.017,54.475,98.19,0.662,0.082,0.198,5.05,,,,99.8,46,,0,63.94,,,22.962,,,0,,,
