Country,2022 SDG Index Score,2022 SDG Index Rank,International Spillovers Score (0-100),International Spillovers Rank,Region,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Bahrain,64.3,102,79.0,119,MENA,grey,,red,→,orange,➚,yellow,➚,orange,→,red,↑,orange,➚,orange,↑,orange,➚,grey,,orange,↓,orange,➚,red,→,red,→,red,↓,orange,→,grey,
Myanmar,64.3,103,99.2,19,East & South Asia,orange,➚,orange,➚,red,→,red,↑,orange,→,red,➚,red,➚,red,➚,red,➚,yellow,↑,red,→,green,↑,yellow,↑,red,→,red,→,red,↓,red,→
Bangladesh,64.2,104,97.9,38,East & South Asia,orange,↑,orange,➚,red,➚,yellow,↑,orange,→,red,➚,orange,➚,orange,➚,orange,➚,orange,,red,➚,green,↑,green,↑,red,→,red,↓,red,→,red,→
Panama,64.0,105,69.2,128,LAC,yellow,➚,red,➚,red,➚,red,↓,orange,➚,orange,➚,yellow,➚,red,➚,orange,➚,red,→,orange,↑,orange,↑,orange,→,red,➚,red,↓,red,➚,red,➚
Guyana,63.9,106,50.0,159,LAC,yellow,↑,orange,➚,red,➚,yellow,,orange,➚,orange,→,orange,➚,red,➚,red,→,grey,,orange,→,orange,→,yellow,→,red,→,red,→,red,➚,orange,➚
Cambodia,63.8,107,97.6,47,East & South Asia,orange,➚,orange,➚,red,➚,orange,➚,red,→,red,➚,red,➚,red,→,red,→,grey,,orange,➚,green,↑,green,↑,red,→,red,➚,red,➚,orange,→
South Africa,63.7,108,91.0,97,Sub-Saharan Africa,red,↓,red,→,red,➚,orange,→,yellow,↑,orange,➚,red,→,red,→,orange,➚,red,,orange,➚,yellow,↑,orange,➚,red,→,red,→,red,→,yellow,➚
Mongolia,63.5,109,94.0,81,East & South Asia,yellow,↑,red,→,red,➚,green,↑,orange,➚,red,➚,red,→,orange,➚,orange,➚,orange,↓,red,→,red,→,red,↓,grey,,red,➚,red,→,yellow,↑
Ghana,63.4,110,97.0,59,Sub-Saharan Africa,orange,➚,red,→,red,→,orange,➚,red,➚,red,➚,orange,➚,orange,➚,orange,➚,red,,red,→,green,↑,yellow,↑,red,→,orange,↓,red,→,orange,→
Lao PDR,63.4,111,90.2,101,East & South Asia,orange,➚,red,➚,red,➚,orange,→,orange,➚,orange,↑,orange,➚,orange,↑,red,➚,orange,,orange,➚,green,↑,yellow,→,grey,,red,↓,red,→,orange,➚
Honduras,63.1,112,94.5,79,LAC,red,→,red,→,red,➚,orange,➚,orange,→,orange,➚,orange,➚,red,→,red,➚,red,→,orange,➚,green,↑,green,↑,red,→,red,→,red,→,orange,→
Gabon,62.8,113,92.8,91,Sub-Saharan Africa,orange,→,red,→,red,→,orange,,red,→,red,→,orange,↑,red,➚,orange,➚,orange,,red,→,yellow,↑,green,↑,red,→,orange,➚,red,↓,red,→
Namibia,62.7,114,90.1,102,Sub-Saharan Africa,red,↓,red,→,red,➚,orange,↑,green,↑,red,→,red,→,red,➚,red,➚,red,,red,↓,yellow,➚,yellow,↑,yellow,➚,yellow,➚,red,→,yellow,➚
Iraq,62.3,115,97.3,53,MENA,orange,↓,red,➚,red,➚,red,,red,→,orange,↑,red,➚,red,➚,orange,➚,yellow,,red,→,yellow,↑,yellow,➚,red,→,red,→,red,→,yellow,→
Botswana,61.4,116,85.2,112,Sub-Saharan Africa,red,→,red,→,red,→,orange,,orange,➚,orange,➚,red,→,red,→,orange,↑,red,,orange,→,yellow,↑,orange,➚,grey,,red,➚,red,➚,yellow,↑
Guatemala,61.0,117,87.4,107,LAC,orange,➚,red,→,red,➚,orange,➚,red,➚,red,➚,orange,➚,red,➚,red,→,red,,orange,→,green,↑,green,↑,red,→,red,→,red,→,orange,→
Kenya,61.0,118,95.3,74,Sub-Saharan Africa,red,→,red,→,red,→,orange,➚,orange,➚,red,→,red,➚,orange,→,red,➚,red,,red,→,green,↑,green,↑,red,➚,red,→,red,→,orange,↓
Trinidad and Tobago,60.4,119,95.5,71,LAC,green,↑,orange,➚,yellow,➚,yellow,,orange,→,orange,➚,red,➚,orange,↑,red,→,grey,,orange,↑,orange,↑,grey,,red,→,red,→,red,→,orange,→
"Venezuela, RB",60.3,120,97.6,46,LAC,red,↓,red,→,red,→,orange,,orange,→,orange,➚,yellow,↑,orange,➚,red,→,red,,red,→,yellow,↑,yellow,↑,red,➚,red,→,red,→,red,↓
India,60.3,121,99.3,13,East & South Asia,orange,➚,red,→,red,➚,yellow,→,red,→,red,➚,orange,➚,red,➚,red,➚,orange,,red,↓,green,↑,green,↑,red,→,red,→,red,→,red,→
"Gambia, The",60.2,122,96.6,61,Sub-Saharan Africa,orange,➚,red,→,red,→,red,→,red,➚,red,→,red,→,red,→,red,→,orange,,orange,→,green,↑,green,↑,red,→,orange,→,red,↑,red,→
Sao Tome and Principe,59.4,123,97.9,40,Sub-Saharan Africa,red,→,orange,→,red,→,red,,orange,→,red,→,red,➚,red,→,red,→,red,,red,→,green,↑,green,↑,orange,→,orange,↓,orange,→,orange,→
Rwanda,59.4,124,98.9,26,Sub-Saharan Africa,red,→,red,→,red,➚,red,→,orange,➚,red,→,red,➚,red,↑,red,➚,red,,red,→,yellow,↑,green,↑,grey,,red,↓,red,→,orange,➚
Pakistan,59.3,125,99.4,8,East & South Asia,orange,→,red,→,red,→,red,→,red,→,red,➚,red,→,red,➚,red,→,orange,↑,red,→,green,↑,green,↑,red,➚,red,→,red,➚,orange,→
Senegal,58.7,126,98.7,31,Sub-Saharan Africa,red,→,red,➚,red,➚,red,↓,red,→,red,➚,red,➚,red,➚,red,➚,red,,red,➚,green,↑,green,↑,red,➚,red,→,orange,➚,orange,→
Cote d'Ivoire,58.4,127,98.9,28,Sub-Saharan Africa,red,➚,red,→,red,➚,red,↑,red,→,red,→,red,➚,orange,➚,red,➚,red,,red,↓,green,↑,yellow,↑,red,→,orange,→,red,➚,red,→
Ethiopia,58.0,128,99.2,21,Sub-Saharan Africa,orange,↑,red,→,red,➚,red,→,orange,→,red,→,red,➚,red,➚,red,→,orange,,red,→,green,↑,green,↑,grey,,red,→,red,→,orange,→
Syrian Arab Republic,57.4,129,99.1,23,MENA,grey,,red,→,red,➚,red,,red,↓,orange,→,red,→,red,→,red,→,orange,,red,→,yellow,↑,green,↑,red,↓,red,→,red,→,orange,➚
Tanzania,57.4,130,98.5,34,Sub-Saharan Africa,red,→,red,→,red,→,red,→,orange,➚,red,→,red,→,red,➚,red,→,red,,red,➚,green,↑,green,↑,red,➚,red,→,red,➚,red,→
Zimbabwe,56.8,131,95.4,72,Sub-Saharan Africa,grey,,red,→,red,→,red,→,yellow,➚,red,↓,red,➚,red,➚,red,→,red,,red,↓,green,↑,yellow,➚,grey,,orange,→,red,→,red,→
Mauritania,55.8,132,97.7,44,Sub-Saharan Africa,orange,➚,red,→,red,→,red,➚,red,→,red,→,red,→,red,→,red,➚,orange,,red,→,yellow,→,green,↑,red,→,red,➚,red,→,red,➚
Togo,55.6,133,99.1,24,Sub-Saharan Africa,red,→,red,→,red,➚,orange,➚,red,→,red,→,red,→,red,↑,red,➚,red,,red,↓,green,↑,green,↑,orange,➚,orange,↓,red,→,orange,→
Cameroon,55.5,134,99.2,18,Sub-Saharan Africa,red,→,red,→,red,→,red,↓,red,➚,red,→,red,➚,red,➚,red,➚,red,,red,→,green,↑,yellow,↑,orange,→,red,↓,red,→,red,→
Lesotho,55.1,135,97.9,39,Sub-Saharan Africa,red,→,red,→,red,→,red,→,yellow,➚,red,→,red,→,red,→,red,→,red,,red,→,green,↑,green,↑,grey,,orange,➚,red,↓,yellow,➚
Uganda,54.9,136,99.3,12,Sub-Saharan Africa,red,→,red,➚,red,➚,red,,red,→,red,→,red,➚,red,➚,red,➚,red,,red,→,green,↑,green,↑,grey,,red,→,red,→,red,→
Eswatini,54.6,137,91.9,94,Sub-Saharan Africa,red,→,red,→,red,➚,red,➚,orange,➚,red,→,orange,➚,red,→,red,→,red,,orange,→,yellow,↑,yellow,↑,grey,,orange,→,red,→,orange,➚
Burkina Faso,54.5,138,99.2,16,Sub-Saharan Africa,red,→,red,→,red,→,red,➚,red,→,red,↓,red,→,red,➚,red,➚,orange,,red,→,green,↑,green,↑,grey,,orange,➚,red,→,orange,➚
Nigeria,54.2,139,98.8,29,Sub-Saharan Africa,red,↓,red,→,red,→,red,,red,➚,red,➚,red,→,red,→,red,→,orange,,red,↓,green,↑,yellow,↑,red,→,orange,↓,red,→,grey,
Zambia,54.2,140,98.2,37,Sub-Saharan Africa,red,↓,red,→,red,→,orange,,orange,→,red,→,red,➚,red,→,red,→,red,,red,→,green,↑,green,↑,grey,,red,↓,red,↓,orange,→
Burundi,54.1,141,99.8,2,Sub-Saharan Africa,red,↓,red,→,red,➚,red,→,red,➚,red,→,red,→,red,↑,red,→,orange,,red,➚,green,↑,green,↑,grey,,orange,↓,red,➚,orange,↓
Mali,54.1,142,99.3,14,Sub-Saharan Africa,red,→,red,→,red,→,red,↓,red,➚,red,➚,red,➚,red,➚,red,→,orange,,red,➚,yellow,→,green,↑,grey,,red,→,red,→,red,→
Mozambique,53.6,143,99.0,25,Sub-Saharan Africa,red,→,red,→,red,→,red,➚,red,➚,red,➚,red,➚,red,↑,red,↓,red,,orange,➚,green,↑,yellow,↑,orange,→,red,→,red,↓,orange,➚
Papua New Guinea,53.6,144,97.7,43,Oceania,red,→,red,→,red,→,red,,red,→,red,→,red,→,red,↑,red,→,red,,orange,→,green,↑,green,↑,red,➚,orange,→,red,➚,red,➚
Malawi,53.3,145,99.2,20,Sub-Saharan Africa,red,→,red,→,red,➚,red,↑,orange,↑,red,→,red,→,red,➚,red,→,red,,orange,→,green,↑,green,↑,grey,,orange,↓,red,➚,orange,↓
Sierra Leone,53.0,146,99.5,7,Sub-Saharan Africa,red,→,red,→,red,→,red,↑,red,→,red,→,red,→,red,→,red,→,orange,,red,→,green,↑,green,↑,red,➚,red,→,red,→,yellow,↑
Afghanistan,52.5,147,99.4,11,E. Europe & C. Asia,grey,,red,→,red,→,red,➚,red,→,red,➚,red,➚,red,→,red,→,grey,,red,→,green,↑,green,↑,grey,,red,→,red,→,red,➚
"Congo, Rep.",52.3,148,97.2,54,Sub-Saharan Africa,red,↓,red,→,red,→,red,,red,→,red,→,red,➚,red,➚,red,→,red,,red,↓,green,↑,yellow,↑,orange,➚,orange,➚,red,↓,red,→
Niger,52.2,149,99.1,22,Sub-Saharan Africa,red,→,red,→,red,→,red,→,red,→,red,→,red,→,red,➚,red,→,orange,,red,→,green,↑,green,↑,grey,,red,↑,red,→,orange,→
"Yemen, Rep.",52.1,150,99.4,9,MENA,grey,,red,→,red,→,red,,red,→,red,→,red,→,red,➚,red,→,orange,,red,→,green,↑,green,↑,red,➚,red,↓,red,→,orange,↓
Haiti,51.9,151,99.2,17,LAC,red,→,red,→,red,→,grey,,red,→,red,→,red,→,red,➚,red,→,red,,red,↓,green,↑,green,↑,red,➚,red,→,red,→,red,→
Guinea,51.3,152,98.9,27,Sub-Saharan Africa,red,↓,red,→,red,→,red,➚,red,→,red,→,red,➚,orange,➚,red,→,orange,,red,↓,green,↑,green,↑,red,→,orange,→,red,↓,red,→
Benin,51.2,153,98.5,35,Sub-Saharan Africa,red,→,red,→,red,→,red,↓,red,→,red,→,red,→,orange,↑,red,➚,red,,red,→,green,↑,green,↑,red,➚,orange,→,red,➚,red,→
Angola,50.9,154,97.2,56,Sub-Saharan Africa,red,↓,red,→,red,→,red,,red,→,red,→,red,➚,red,→,red,→,red,,red,→,green,↑,yellow,↑,orange,→,red,→,red,➚,orange,→
Djibouti,50.3,155,89.4,103,Sub-Saharan Africa,orange,➚,red,→,red,→,red,→,red,➚,red,→,red,→,red,→,red,➚,red,,red,→,green,↑,yellow,➚,red,→,red,↓,red,→,red,→
Madagascar,50.1,156,99.6,3,Sub-Saharan Africa,red,→,red,→,red,→,red,↓,orange,➚,red,→,red,→,red,➚,red,→,red,,red,→,green,↑,green,↑,red,→,red,→,red,→,red,→
"Congo, Dem. Rep.",50.0,157,99.4,10,Sub-Saharan Africa,red,→,red,→,red,→,red,,red,➚,red,↓,red,➚,red,➚,red,➚,red,,red,→,green,↑,green,↑,yellow,➚,red,→,red,→,red,↓
Liberia,49.9,158,97.4,49,Sub-Saharan Africa,red,→,red,→,red,→,red,,red,→,red,→,red,→,red,➚,red,→,orange,,red,↓,green,↑,green,↑,orange,➚,red,→,red,→,red,→
Sudan,49.6,159,99.5,4,Sub-Saharan Africa,red,↓,red,→,red,→,red,↓,red,→,red,→,red,➚,red,→,red,➚,orange,,red,→,yellow,➚,green,↑,red,➚,red,➚,red,➚,red,→
Somalia,45.6,160,100.0,1,Sub-Saharan Africa,red,↓,red,→,red,→,grey,,red,→,red,→,red,→,red,→,red,→,orange,,red,→,green,↑,green,↑,red,→,red,↓,red,→,red,➚
Chad,41.3,161,99.5,6,Sub-Saharan Africa,red,↓,red,→,red,→,red,↓,red,↓,red,→,red,→,red,➚,red,→,red,,red,↓,yellow,→,green,↑,grey,,orange,→,red,→,red,→
Central African Republic,39.3,162,99.3,15,Sub-Saharan Africa,red,→,red,→,red,→,red,,red,→,red,↓,red,→,red,➚,red,→,red,,red,↓,yellow,→,green,↑,grey,,yellow,➚,red,↓,red,→
South Sudan,39.0,163,99.5,5,Sub-Saharan Africa,red,↓,red,→,red,→,red,,orange,→,red,→,red,→,red,→,red,→,red,,red,→,yellow,→,green,↑,grey,,red,➚,red,↓,red,→
Andorra,,,,,E. Europe & C. Asia,grey,,yellow,➚,grey,,grey,,green,↑,green,↑,green,↑,grey,,orange,↑,grey,,yellow,↑,red,➚,yellow,→,grey,,orange,➚,orange,→,grey,
Antigua and Barbuda,,,,,LAC,grey,,red,→,yellow,➚,green,↑,grey,,orange,,yellow,➚,yellow,↑,orange,➚,grey,,grey,,orange,➚,yellow,➚,red,➚,orange,→,grey,,grey,
"Bahamas, The",,,,,LAC,grey,,red,➚,orange,➚,orange,,yellow,➚,red,➚,yellow,↑,red,➚,orange,➚,grey,,grey,,orange,➚,red,➚,red,➚,red,→,red,→,orange,➚
Comoros,,,,,Sub-Saharan Africa,red,→,red,→,red,→,red,,red,→,red,→,red,➚,red,↓,red,→,red,,orange,→,grey,,green,↑,red,→,red,→,red,↓,grey,
Cabo Verde,,,,,Sub-Saharan Africa,orange,➚,red,→,orange,➚,orange,↓,orange,➚,orange,➚,orange,➚,red,→,orange,➚,red,,orange,➚,green,↑,green,↑,red,→,orange,➚,orange,↑,orange,→
Dominica,,,,,LAC,grey,,red,→,grey,,green,↑,grey,,orange,,orange,→,grey,,orange,→,grey,,grey,,grey,,green,↑,red,➚,red,→,red,→,grey,
Eritrea,,,,,Sub-Saharan Africa,grey,,red,→,red,➚,red,↓,orange,→,red,,red,➚,orange,→,red,→,grey,,red,↓,green,↑,green,↑,red,➚,red,↓,grey,,grey,
"Micronesia, Fed. Sts.",,,,,Oceania,grey,,grey,,red,➚,orange,↓,grey,,orange,→,orange,➚,grey,,red,➚,red,,grey,,grey,,green,↑,red,➚,red,→,grey,,orange,➚
Guinea-Bissau,,,,,Sub-Saharan Africa,red,→,red,→,red,→,red,,orange,➚,red,→,red,→,orange,→,red,→,red,,red,→,grey,,green,↑,red,➚,red,→,red,→,red,→
Equatorial Guinea,,,,,Sub-Saharan Africa,grey,,red,→,red,→,red,,red,→,red,,red,→,orange,↓,red,↓,grey,,red,↓,grey,,orange,➚,orange,➚,orange,➚,grey,,orange,↓
Grenada,,,,,LAC,grey,,red,→,orange,➚,green,↑,yellow,↑,orange,,yellow,➚,grey,,orange,➚,grey,,grey,,grey,,yellow,→,red,➚,red,↓,orange,↓,grey,
Kiribati,,,,,Oceania,grey,,red,→,red,➚,yellow,→,red,→,red,→,red,→,grey,,red,➚,orange,,orange,➚,grey,,green,↑,orange,➚,grey,,red,,yellow,➚
St. Kitts and Nevis,,,,,LAC,grey,,orange,→,grey,,yellow,,grey,,orange,,yellow,➚,grey,,yellow,↑,grey,,grey,,grey,,yellow,➚,red,→,red,➚,grey,,grey,
Libya,,,,,MENA,grey,,red,↓,red,→,grey,,red,→,red,➚,red,↓,red,➚,red,↓,grey,,orange,↓,orange,↑,red,→,red,→,orange,➚,red,→,orange,↓
St. Lucia,,,,,LAC,orange,➚,orange,→,orange,→,yellow,→,orange,➚,orange,➚,yellow,➚,red,➚,orange,➚,red,,orange,➚,grey,,yellow,↑,red,↓,orange,→,red,→,orange,↓
Liechtenstein,,,,,E. Europe & C. Asia,grey,,grey,,grey,,green,↑,grey,,grey,,grey,,grey,,yellow,↑,grey,,grey,,grey,,grey,,grey,,yellow,➚,yellow,➚,grey,
Monaco,,,,,E. Europe & C. Asia,grey,,grey,,grey,,grey,,grey,,green,↑,green,↑,grey,,orange,↑,grey,,yellow,↑,grey,,grey,,yellow,➚,grey,,grey,,grey,
Marshall Islands,,,,,Oceania,grey,,red,↓,grey,,red,↓,orange,↓,orange,→,yellow,➚,grey,,red,↓,grey,,grey,,grey,,grey,,red,➚,grey,,grey,,orange,➚
Nauru,,,,,Oceania,grey,,red,→,grey,,yellow,→,red,→,red,↑,yellow,➚,grey,,orange,➚,yellow,,orange,➚,grey,,yellow,→,red,➚,grey,,grey,,grey,
Palau,,,,,Oceania,grey,,orange,→,grey,,yellow,→,grey,,yellow,↑,green,↑,grey,,red,↑,grey,,yellow,↑,grey,,grey,,orange,➚,red,→,grey,,grey,
"Korea, Dem. Rep.",,,,,East & South Asia,grey,,red,→,red,➚,green,,yellow,➚,orange,→,red,→,orange,↑,red,→,grey,,red,→,green,↑,green,↑,red,→,red,➚,red,→,grey,
Solomon Islands,,,,,Oceania,red,→,red,→,red,➚,red,→,red,➚,red,↓,red,→,grey,,red,→,orange,,orange,→,grey,,green,↑,red,➚,red,→,orange,→,orange,➚
San Marino,,,,,E. Europe & C. Asia,grey,,grey,,grey,,yellow,,grey,,yellow,↑,green,↑,grey,,orange,↑,grey,,grey,,grey,,grey,,yellow,↑,grey,,grey,,grey,
Seychelles,,,,,Sub-Saharan Africa,grey,,red,→,orange,➚,green,↑,yellow,↓,orange,↑,green,↑,grey,,orange,↑,orange,,grey,,orange,➚,yellow,→,yellow,➚,red,➚,orange,➚,orange,→
Timor-Leste,,,,,East & South Asia,red,↓,red,➚,red,➚,red,➚,red,→,red,➚,orange,➚,yellow,↑,red,→,yellow,,orange,➚,grey,,grey,,orange,➚,orange,→,red,↑,yellow,↑
Tonga,,,,,Oceania,yellow,↑,red,→,red,➚,yellow,↑,red,➚,orange,➚,orange,➚,grey,,orange,➚,orange,,yellow,↑,grey,,green,↑,red,➚,grey,,orange,↑,grey,
Tuvalu,,,,,Oceania,grey,,red,→,grey,,orange,→,red,↓,orange,↑,yellow,➚,grey,,red,↓,orange,,yellow,↑,grey,,green,↑,yellow,➚,grey,,grey,,grey,
St. Vincent and the Grenadines,,,,,LAC,grey,,orange,➚,orange,➚,green,↑,orange,➚,orange,,yellow,➚,red,↓,orange,↑,grey,,grey,,grey,,green,↑,red,→,red,→,red,➚,orange,➚
Vanuatu,,,,,Oceania,red,↓,red,→,red,➚,orange,➚,red,→,red,→,red,→,yellow,↑,orange,➚,orange,,yellow,→,green,↑,green,↑,red,→,red,→,red,,red,→
Samoa,,,,,Oceania,yellow,➚,red,→,red,→,orange,➚,red,→,orange,➚,red,→,orange,→,red,➚,orange,,yellow,→,green,↑,green,↑,orange,→,red,↓,red,↑,yellow,➚
East and South Asia,65.9,,97.7,,,orange,➚,red,→,red,➚,yellow,➚,orange,→,orange,↑,orange,➚,orange,➚,orange,➚,orange,,red,→,green,↑,yellow,➚,red,→,red,→,red,➚,orange,→
Eastern Europe and Central Asia,71.6,,90.1,,,yellow,↑,orange,→,orange,➚,yellow,➚,orange,➚,orange,➚,red,→,orange,➚,orange,➚,yellow,→,orange,→,yellow,↑,orange,➚,grey,,red,→,red,➚,yellow,➚
Latin America and the Caribbean,69.5,,95.8,,,orange,↓,orange,→,red,➚,yellow,➚,yellow,➚,orange,➚,yellow,↑,red,→,orange,➚,red,,orange,➚,yellow,→,yellow,↑,red,→,red,→,red,→,yellow,→
Middle East and North Africa,66.7,,94.2,,,yellow,→,red,→,red,➚,orange,→,red,→,orange,↑,red,➚,red,➚,orange,➚,orange,,orange,→,yellow,↑,orange,➚,red,→,red,→,red,→,orange,→
Oceania,52.3,,100.0,,,red,→,red,↓,red,→,red,→,red,→,red,→,red,→,grey,,red,→,red,,orange,→,grey,,green,↑,red,➚,orange,→,grey,,red,→
OECD members,77.2,,70.7,,,green,↑,orange,➚,yellow,➚,green,↑,yellow,➚,yellow,↑,orange,➚,yellow,➚,green,↑,orange,→,yellow,➚,orange,➚,red,→,red,→,red,→,orange,➚,yellow,➚
Small Island Developing States,65.3,,85.9,,,red,→,red,→,red,→,orange,→,orange,→,red,→,orange,→,orange,→,orange,→,red,→,orange,→,yellow,→,yellow,➚,red,➚,red,→,red,→,orange,→
Sub-Saharan Africa,53.6,,98.3,,,red,→,red,→,red,→,red,→,red,→,red,→,red,→,red,➚,red,→,red,,red,→,green,↑,yellow,↑,red,→,red,→,red,→,orange,→
Low-income Countries,51.6,,99.3,,,red,→,red,→,red,→,red,,red,→,red,→,red,→,red,➚,red,→,orange,,red,→,green,↑,green,↑,red,↓,red,→,red,→,red,→
Lower-middle-income Countries,61.8,,98.5,,,orange,➚,red,→,red,→,orange,→,red,→,red,➚,orange,➚,red,➚,red,➚,orange,,red,→,green,↑,yellow,↑,red,→,red,→,red,→,red,→
Upper-middle-income Countries,71.5,,95.2,,,yellow,→,orange,➚,orange,➚,yellow,➚,yellow,➚,orange,↑,orange,➚,orange,→,yellow,↑,red,,orange,➚,yellow,↑,orange,➚,red,→,red,→,red,➚,orange,→
High-income Countries,77.5,,66.2,,,green,↑,orange,➚,yellow,➚,green,↑,yellow,➚,orange,↑,orange,➚,yellow,➚,green,↑,orange,→,yellow,➚,orange,➚,red,→,red,→,red,→,yellow,➚,yellow,➚
